,,cfs,cfs,MSL,acres,acre-ft,cfs
,,AVG release (prev 24 hr),AVG inflow (prev 24 hr),ADJ Lake level (MSL),surface_area,reservoir_storage,Discharge gate adj.
January,1,2000,1164,131.15,83700,1754570,0
,2,2000,2418,131.16,83728,1755417,0
,3,2000,1373,131.14,83672,1753723,3000
,4,2667,4655,131.19,83812,1757957,0
,5,3000,5096,131.24,83953,1762192,0
,6,3000,1534,131.21,83869,1759651,0
,7,3000,2581,131.20,83841,1758804,0
,8,3000,1954,131.17,83756,1756264,0
,9,3000,5514,131.23,83925,1761345,4000
,10,3750,2285,131.20,83841,1758804,0
,11,4000,1596,131.14,83672,1753723,0
,12,4000,558,131.06,83446,1746948,2000
,13,2000,2000,131.06,83446,1746948,0
,14,2000,5240,131.14,83672,1753723,4000
,15,4000,6932,131.21,83869,1759651,0
,16,4000,5362,131.24,83953,1762192,5000
,17,4500,2720,131.20,83841,1758804,0
,18,5000,11515,131.35,84263,1771507,0
,19,5000,4055,131.33,84207,1769813,0
,20,5000,6366,131.36,84291,1772354,0
,21,5000,4475,131.35,84263,1771507,0
,22,5000,3635,131.32,84179,1768967,0
,23,5000,5000,131.32,84179,1768967,0
,24,5000,3742,131.25,83982,1763038,0
,25,5000,7624,131.31,84151,1768120,0
,26,5000,2798,131.26,84010,1763885,0
,27,5000,921,131.16,83728,1755417,2000
,28,2000,2837,131.18,83784,1757110,0
,29,2000,1338,131.17,83756,1756264,0
,30,2000,2349,131.18,83784,1757110,0
,31,2000,5775,131.27,84038,1764732,4000
February,1,4000,4000,131.20,83841,1758804,0
,2,4000,4000,131.23,83925,1761345,0
,3,4000,4000,131.16,83728,1755417,2000
,4,2750,2750,131.15,83700,1754570,0
,5,2000,2000,131.10,83559,1750336,0
,6,2000,2000,131.08,83502,1748642,0
,7,2000,2000,131.22,83897,1760498,0
,8,2000,2000,131.13,83643,1752876,0
,9,2000,2000,131.12,83615,1752029,0
,10,2000,2000,131.17,83756,1756264,0
,11,2000,2000,131.19,83812,1757957,0
,12,2000,2000,131.23,83925,1761345,0
,13,2000,2000,131.23,83925,1761345,0
,14,2000,2000,131.25,83982,1763038,0
,15,2000,2000,131.27,84038,1764732,1000
,16,2000,2000,131.29,84094,1766426,0
,17,2000,2000,131.29,84094,1766426,0
,18,2000,2000,131.28,84066,1765579,0
,19,2000,2000,131.28,84066,1765579,0
,20,2000,2000,131.29,84094,1766426,0
,21,2000,2000,131.28,84066,1765579,0
,22,2000,2000,131.27,84038,1764732,0
,23,2000,2000,131.28,84066,1765579,0
,24,2000,2000,131.29,84094,1766426,0
,25,2000,2000,131.27,84038,1764732,0
,26,2000,2000,131.25,83982,1763038,0
,27,2000,2000,131.28,84066,1765579,0
,28,2000,2000,131.24,83953,1762192,0
March,1,2000,1581,131.23,83925,1761345,0
,2,2000,2629,131.25,83982,1763038,0
,3,2000,1895,131.24,83953,1762192,0
,4,2000,2524,131.26,84010,1763885,0
,5,2000,115,131.21,83869,1759651,0
,6,2000,2000,131.21,83869,1759651,0
,7,2000,535,131.18,83784,1757110,0
,8,2000,2942,131.20,83841,1758804,0
,9,2000,2440,131.21,83869,1759651,0
,10,2000,0,131.14,83672,1753723,0
,11,2000,1687,131.13,83643,1752876,0
,12,2000,747,131.10,83559,1750336,0
,13,2000,2000,131.10,83559,1750336,0
,14,2000,1374,131.09,83531,1749489,0
,15,2000,3149,131.12,83615,1752029,1000
,16,1375,0,131.07,83474,1747795,0
,17,1000,1000,131.07,83474,1747795,0
,18,1000,478,131.06,83446,1746948,0
,19,1000,1731,131.08,83502,1748642,0
,20,1000,896,131.07,83474,1747795,0
,21,1000,583,131.06,83446,1746948,0
,22,1000,62,131.04,83390,1745254,0
,23,1000,2461,131.08,83502,1748642,0
,24,1000,687,131.07,83474,1747795,0
,25,1000,0,131.03,83362,1744408,0
,26,1000,1822,131.06,83446,1746948,0
,27,1000,1730,131.07,83474,1747795,0
,28,1000,0,131.04,83390,1745254,0
,29,1000,0,131.01,83305,1742714,0
,30,1000,2251,131.04,83390,1745254,0
,31,1000,0,131.00,83277,1741867,0
April,1,1000,584,130.98,83221,1740230,0
,2,1000,1000,130.98,83221,1740230,0
,3,1000,167,130.96,83164,1738592,0
,4,1000,138,130.94,83108,1736955,0
,5,1000,1000,130.94,83108,1736955,0
,6,1000,0,130.89,82967,1732861,0
,7,1000,1145,130.90,82995,1733680,0
,8,1000,2456,130.94,83108,1736955,0
,9,1000,3083,130.98,83221,1740230,0
,10,1000,3398,131.07,83474,1747795,0
,11,1000,2253,131.10,83559,1750336,0
,12,1000,1731,131.12,83615,1752029,0
,13,1000,269,131.11,83587,1751182,0
,14,1000,374,131.09,83531,1749489,0
,15,1000,2149,131.12,83615,1752029,0
,16,1000,1556,131.14,83672,1753723,0
,17,1000,3722,131.20,83841,1758804,0
,18,1000,1838,131.22,83897,1760498,0
,19,1000,1000,131.22,83897,1760498,0
,20,1000,1524,131.24,83953,1762192,0
,21,1000,476,131.22,83897,1760498,0
,22,1000,0,131.19,83812,1757957,0
,23,1000,581,131.18,83784,1757110,0
,24,1000,1733,131.20,83841,1758804,0
,25,1000,477,131.19,83812,1757957,0
,26,1000,4776,131.28,84066,1765579,0
,27,1000,2155,131.30,84122,1767273,0
,28,1000,0,131.26,84010,1763885,0
,29,1000,1839,131.28,84066,1765579,0
,30,1000,476,131.26,84010,1763885,0
May,1,1000,2155,131.31,84151,1768120,0
,2,1000,3313,131.36,84291,1772354,0
,3,1000,0,131.33,84207,1769813,0
,4,1000,55,131.31,84151,1768120,0
,5,1000,0,131.28,84066,1765579,0
,6,1000,1735,131.30,84122,1767273,3000
,7,2167,4163,131.35,84263,1771507,4000
,8,4000,8953,131.46,84573,1780823,6000
,9,6000,7265,131.49,84658,1783363,0
,10,6000,3578,131.44,84517,1779129,3000
,11,4000,0,131.28,84066,1765579,0
,12,3000,6656,131.31,84151,1768120,0
,13,3000,4891,131.35,84263,1771507,0
,14,3000,2160,131.33,84207,1769813,0
,15,3000,0,131.26,84010,1763885,0
,16,3000,2371,131.24,83953,1762192,0
,17,3000,3419,131.25,83982,1763038,0
,18,3000,2524,131.27,84038,1764732,0
,19,3000,2266,131.25,83982,1763038,0
,20,3000,707,131.19,83812,1757957,2000
,21,2000,1024,131.17,83756,1756264,0
,22,2000,5967,131.33,84207,1769813,3000
,23,2625,8527,131.47,84601,1781669,4000
,24,4000,4000,131.47,84601,1781669,0
,25,4000,1579,131.43,84489,1778282,0
,26,4000,7798,131.52,84742,1785904,0
,27,4000,1892,131.47,84601,1781669,0
,28,4000,5477,131.51,84714,1785057,0
,29,4000,5690,131.55,84827,1788444,5000
,30,4625,7587,131.62,85024,1794372,0
,31,5000,6694,131.66,85137,1797760,0
June,1,5000,3307,131.62,85024,1794372,0
,2,5000,1620,131.57,84883,1790138,0
,3,5000,890,131.47,84601,1781669,0
,4,5000,1844,131.39,84376,1774895,3000
,5,3250,0,131.30,84122,1767273,2000
,6,2000,0,131.26,84010,1763885,1000
,7,1000,1000,131.26,84010,1763885,0
,8,1000,476,131.25,83982,1763038,0
,9,1000,0,131.21,83869,1759651,0
,10,1000,0,131.19,83812,1757957,0
,11,1000,581,131.18,83784,1757110,0
,12,1000,0,131.14,83672,1753723,0
,13,1000,0,131.11,83587,1751182,0
,14,1000,0,131.08,83502,1748642,0
,15,1000,0,131.05,83418,1746101,0
,16,1000,0,131.01,83305,1742714,0
,17,1000,0,130.97,83192,1739411,0
,18,1000,0,130.94,83108,1736955,0
,19,1000,0,130.90,82995,1733680,0
,20,1000,0,130.85,82854,1729587,3000
,21,2583,0,130.80,82714,1725493,2000
,22,2208,4669,130.86,82883,1730405,0
,23,2000,30,130.82,82770,1727131,1500
,24,1604,879,130.80,82714,1725493,0
,25,1500,1086,130.79,82685,1724675,0
,26,1500,5759,130.89,82967,1732861,0
,27,1500,7547,131.04,83390,1745254,4000
,28,3583,5880,131.09,83531,1749489,0
,29,4000,1706,131.04,83390,1745254,0
,30,4000,878,130.96,83164,1738592,1500
July,1,1917,46,130.92,83052,1735317,0
,2,1500,46,130.88,82939,1732043,0
,3,1500,0,130.81,82742,1726312,0
,4,1500,1500,130.81,82742,1726312,0
,5,1500,0,130.77,82629,1723037,0
,6,1500,0,130.75,82573,1721400,0
,7,1500,0,130.69,82404,1716488,0
,8,1500,157,130.66,82319,1714032,0
,9,1500,0,130.61,82178,1709938,0
,10,1500,263,130.58,82094,1707482,0
,11,1500,0,130.54,81981,1704207,0
,12,1500,677,130.52,81925,1702570,0
,13,1500,0,130.48,81812,1699295,0
,14,1500,0,130.44,81699,1696020,0
,15,1500,0,130.40,81587,1692746,0
,16,1500,0,130.37,81502,1690290,0
,17,1500,0,130.34,81418,1687833,0
,18,1500,67,130.30,81305,1684559,0
,19,1500,477,130.28,81249,1682921,0
,20,1500,69,130.24,81136,1679647,0
,21,1500,377,130.21,81052,1677190,0
,22,1500,0,130.17,80939,1673916,0
,23,1500,0,130.11,80770,1669004,0
,24,1500,278,130.08,80685,1666548,0
,25,1500,0,130.05,80601,1664091,0
,26,1500,0,130.01,80488,1660817,0
,27,1500,0,129.98,80419,1658409,0
,28,1500,0,129.92,80296,1653643,0
,29,1500,285,129.89,80234,1651260,0
,30,1500,0,129.83,80111,1646494,0
,31,1500,0,129.78,80008,1642523,0
August,1,1500,289,129.75,79947,1640140,0
,2,1500,0,129.70,77790,1557351,0
,3,1500,0,129.67,79782,1633785,0
,4,1500,0,129.61,79659,1629019,0
,5,1500,0,129.56,,,0
,6,1500,0,129.51,79454,1621076,0
,7,1500,0,129.47,79371,1617899,0
,8,1500,0,129.41,,,0
,9,1500,0,129.37,79166,1609955,0
,10,1500,0,129.31,79043,1605189,0
,11,1500,0,129.25,78920,1600423,0
,12,1500,305,129.22,78858,1598040,0
,13,1500,0,129.16,78735,1593274,0
,14,1500,308,129.13,78673,1590891,0
,15,1500,607,129.11,78632,1589303,0
,16,1500,0,129.07,78550,1586125,0
,17,1500,0,129.02,78447,1582154,0
,18,1500,0,128.97,78344,1578244,0
,19,1500,611,128.95,78303,1576696,0
,20,1500,512,128.92,78242,1574375,0
,21,1500,0,128.89,78180,1572053,0
,22,1500,219,128.85,78098,1568958,0
,23,1500,0,128.80,77995,1565089,0
,24,1500,811,128.78,,,0
,25,1500,1500,128.78,,,0
,26,1500,611,128.76,77913,1561994,0
,27,1500,0,128.67,77728,1555030,0
,28,1500,1108,128.66,77708,1554256,0
,29,1500,0,128.62,,,0
,30,1500,0,128.57,77523,1547292,0
,31,1500,0,128.52,,,0
September,1,1500,36,128.48,,,0
,2,1500,0,128.44,77256,1537233,0
,3,1500,0,128.37,,,0
,4,1500,0,128.32,77009,1527947,0
,5,1500,0,128.24,,,0
,6,1500,0,128.17,76701,1516340,0
,7,1500,0,128.11,76578,1511698,0
,8,1500,0,128.03,,,0
,9,1500,151,127.99,76331,1502433,0
,10,1500,0,127.94,,,0
,11,1500,0,127.89,76126,1494900,0
,12,1500,0,127.85,,,0
,13,1500,158,127.82,75982,1489627,0
,14,1500,0,127.76,,,0
,15,1500,0,127.69,75715,1479835,0
,16,1500,0,127.65,75633,1476822,0
,17,1500,0,127.61,75551,1473809,0
,18,1500,357,127.58,,,0
,19,1500,7334,127.73,,,0
,20,1500,128,127.71,75756,1481342,0
,21,1500,0,127.67,,,0
,22,1500,832,127.65,75633,1476822,0
,23,1500,0,127.60,75530,1473056,0
,24,1500,2454,127.63,75592,1475316,0
,25,1500,0,127.57,,,0
,26,1500,548,127.54,75407,1468537,0
,27,1500,739,127.52,75366,1467030,0
,28,1500,265,127.49,75304,1464770,0
,29,1500,0,127.44,,,0
,30,1500,457,127.41,,,0
October,1,1500,0,127.36,75037,1454978,0
,2,1500,0,127.30,74914,1450458,0
,3,1500,461,127.27,,,0
,4,1500,179,127.24,,,0
,5,1500,0,127.19,,,0
,6,1500,0,127.12,74544,1436900,0
,7,1500,560,127.10,74503,1435393,0
,8,1500,92,127.06,74421,1432381,0
,9,1500,0,127.00,74298,1427861,0
,10,1500,6014,127.12,74544,1436900,0
,11,1500,560,127.09,74483,1434640,0
,12,1500,92,127.05,74401,1431627,0
,13,1500,560,127.03,74360,1430121,0
,14,1500,1500,127.03,74360,1430121,0
,15,1500,4109,127.10,74503,1435393,0
,16,1500,2723,127.14,74586,1438406,0
,17,1500,2724,127.17,74647,1440666,0
,18,1500,6036,127.29,,,0
,19,1500,0,127.20,,,0
,20,1500,0,127.15,74606,1439160,1450
,21,1454,0,127.10,74503,1435393,0
,22,1450,792,127.08,74462,1433887,0
,23,1450,2955,127.12,74544,1436900,0
,24,1450,2203,127.14,74586,1438406,0
,25,1450,697,127.12,74544,1436900,0
,26,1450,1450,127.12,74544,1436900,1200
,27,1231,479,127.10,74503,1435393,0
,28,1200,3838,127.17,74647,1440666,0
,29,1200,1200,127.17,74647,1440666,0
,30,1200,917,127.16,74627,1439913,0
,31,1200,1200,127.16,74627,1439913,0
November,1,1200,353,127.13,74565,1437653,0
,2,1200,0,127.10,74503,1435393,0
,3,1200,5444,127.21,74729,1443679,0
,4,1200,0,127.04,,,0
,5,1200,75,127.01,,,0
,6,1200,1575,127.02,74339,1429367,0
,7,1200,825,127.01,,,0
,8,1200,1200,127.01,,,0
,9,1200,2608,127.05,74401,1431627,0
,10,1200,0,126.99,74277,1427128,0
,11,1200,451,126.97,74236,1425663,0
,12,1200,0,126.91,74113,1421267,0
,13,1200,1200,126.91,74113,1421267,0
,14,1200,1761,126.93,74154,1422732,0
,15,1200,1762,126.94,74175,1423465,0
,16,1200,4672,127.04,,,0
,17,1200,731,127.02,74339,1429367,0
,18,1200,0,126.96,74216,1424930,1000
,19,1050,582,126.95,74195,1424197,0
,20,1000,2406,126.98,74257,1426396,0
,21,1000,1000,126.98,74257,1426396,0
,22,1000,2595,127.02,74339,1429367,0
,23,1000,2691,127.07,74442,1433134,0
,24,1000,2505,127.11,74524,1436147,0
,25,1000,0,127.08,74462,1433887,0
,26,1000,812,127.07,74442,1433134,0
,27,1000,8651,127.27,,,0
,28,1000,0,127.16,74627,1439913,0
,29,1000,435,127.14,74586,1438406,0
,30,1000,2225,127.17,74647,1440666,0
December,1,1000,0,127.14,74586,1438406,0
,2,1000,1471,127.15,74606,1439160,0
,3,1000,1000,127.15,74606,1439160,0
,4,1000,2225,127.18,74668,1441420,0
,5,1000,5822,127.31,74935,1451212,0
,6,1000,0,127.27,,,0
,7,1000,0,127.23,,,0
,8,1000,2322,127.26,74832,1447446,0
,9,1000,7452,127.43,75181,1460251,0
,10,1000,10553,127.68,75695,1479082,0
,11,1000,8877,127.89,76126,1494900,0
,12,1000,4853,127.99,76331,1502433,0
,13,1000,3026,128.04,,,0
,14,1000,1000,128.04,,,0
,15,1000,2158,128.07,76496,1508603,0
,16,1000,1000,128.07,76496,1508603,0
,17,1000,614,128.06,76475,1507829,0
,18,1000,1869,128.08,76516,1509376,0
,19,1000,2740,128.13,76619,1513245,0
,20,1000,13384,128.45,77276,1538007,0
,21,1000,3833,128.52,,,0
,22,1000,8364,128.71,77810,1558125,0
,23,1000,3952,128.78,,,0
,24,1000,4452,128.87,,,0
,25,1000,6741,129.01,78427,1581359,0
,26,1000,3876,129.09,,,0
,27,1000,3086,129.14,78694,1591686,0
,28,1000,2790,129.18,78776,1594863,0
,29,1000,2792,129.23,78878,1598835,0
,30,1000,1199,129.23,78878,1598835,0
,31,1000,1797,129.25,78920,1600423,0